game_id,player_id,time_played,points_scored,threes_scored,off_rebounds,def_rebounds,assists,losts,steals,blocks
7,83,22:54,5,1,0,3,2,3,1,0
7,77,21:24,9,2,1,0,0,4,0,0
7,82,30:24,16,1,2,3,2,1,0,1
7,81,34:18,25,1,2,7,3,3,0,0
7,79,31:27,9,1,1,5,1,1,1,0
7,80,13:02,7,1,0,0,0,1,0,0
7,85,10:49,8,0,0,2,0,0,0,0
7,76,21:21,8,0,1,5,4,2,0,0
7,78,14:21,2,0,0,2,1,1,0,0
7,93,31:28,17,2,2,3,3,2,3,1
7,92,29:41,24,3,0,1,0,1,2,0
7,87,33:21,18,5,2,3,6,0,2,0
7,86,32:34,7,0,1,2,4,2,2,0
7,90,30:43,13,0,2,3,4,0,1,0
7,95,0:00,0,0,0,0,0,0,0,0
7,89,12:21,9,1,0,3,0,2,0,0
7,88,8:01,0,0,1,2,0,1,0,0
7,91,15:01,4,0,0,0,0,0,1,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
