game_id,player_id,time_played,points_scored,threes_scored,off_rebounds,def_rebounds,assists,losts,steals,blocks
13,60,32:03,23,0,3,15,2,2,3,2
13,62,31:01,16,4,0,1,4,2,1,1
13,55,33:13,18,1,1,2,5,3,1,0
13,61,6:22,0,0,0,1,0,0,0,0
13,56,19:14,2,0,1,3,1,2,1,0
13,64,5:13,2,0,2,0,0,1,0,0
13,58,13:31,1,0,0,0,0,1,1,1
13,59,4:11,1,0,1,0,0,0,1,0
13,63,26:38,9,2,2,1,3,1,2,0
13,57,28:34,3,1,0,4,2,1,1,0
13,41,13:22,7,1,0,0,0,0,0,0
13,40,36:08,16,2,1,5,3,1,1,0
13,36,26:19,7,0,2,3,2,3,2,0
13,151,29:47,14,0,4,9,1,2,0,0
13,33,33:03,7,0,1,6,5,3,0,0
13,38,29:13,16,0,3,4,0,3,0,0
13,37,5:26,0,0,0,1,0,1,0,0
13,35,26:41,17,3,0,2,2,3,1,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
