game_id,player_id,time_played,points_scored,threes_scored,off_rebounds,def_rebounds,assists,losts,steals,blocks
23,38,16:48,8,0,0,0,1,0,1,0
23,40,27:20,8,1,0,6,3,3,1,0
23,36,25:40,15,3,1,2,3,1,0,0
23,151,31:28,4,0,6,7,1,1,3,0
23,33,30:11,16,2,1,4,3,3,0,0
23,41,17:27,4,0,1,1,0,0,0,0
23,34,6:42,2,0,0,0,0,1,0,0
23,37,19:15,2,0,1,2,1,1,0,1
23,35,22:39,11,3,1,1,2,3,0,0
23,42,2:30,0,0,0,0,1,0,1,0
23,7,26:30,10,2,0,5,8,1,2,0
23,9,31:54,14,2,1,5,2,0,1,0
23,12,35:47,27,6,0,2,5,5,1,0
23,14,32:54,21,0,5,3,0,0,1,2
23,11,22:26,7,0,2,4,0,2,2,0
23,13,20:21,4,0,0,3,3,0,1,0
23,18,0:23,0,0,0,0,0,0,0,0
23,153,4:44,0,0,0,0,0,0,0,0
23,155,15:24,3,1,0,3,2,0,0,0
23,17,9:37,3,1,0,1,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
