game_id,player_id,time_played,points_scored,threes_scored,off_rebounds,def_rebounds,assists,losts,steals,blocks
20,48,36:07,12,0,1,2,4,3,1,0
20,49,31:08,9,0,2,4,1,1,1,0
20,50,21:22,14,0,2,7,2,5,1,0
20,43,29:49,8,1,1,5,8,0,1,0
20,46,27:37,8,1,1,9,0,1,1,0
20,47,26:43,14,2,1,7,2,2,0,2
20,45,15:25,6,2,1,1,1,1,1,1
20,44,11:28,7,1,0,0,0,1,1,0
20,54,0:22,0,0,0,0,0,0,0,0
20,134,36:00,1,0,0,5,4,2,0,0
20,140,20:09,9,1,0,0,0,0,0,0
20,136,23:17,7,1,1,1,2,3,0,0
20,137,34:48,17,0,0,5,1,0,2,1
20,147,33:36,16,0,3,12,1,2,3,0
20,145,0:08,0,0,0,0,0,0,0,0
20,138,9:50,4,0,0,2,0,0,0,1
20,139,16:25,0,0,0,2,1,2,1,0
20,143,8:17,5,1,1,1,1,0,1,0
20,135,17:29,8,2,0,0,1,4,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
