game_id,player_id,time_played,points_scored,threes_scored,off_rebounds,def_rebounds,assists,losts,steals,blocks
10,69,28:07,11,2,2,1,1,1,0,0
10,67,32:28,2,0,2,1,5,4,2,0
10,71,36:48,19,2,2,5,4,2,1,0
10,73,20:27,6,1,0,4,1,2,0,0
10,72,34:05,15,1,0,5,1,1,1,1
10,70,17:50,7,0,2,7,1,1,0,1
10,75,1:54,2,0,0,0,0,0,0,0
10,74,27:25,11,3,2,0,1,2,0,0
10,116,26:55,6,0,1,6,2,2,1,2
10,112,26:45,19,3,3,1,2,2,0,0
10,113,37:07,19,2,3,3,0,0,0,1
10,110,34:56,13,0,0,6,13,2,4,0
10,114,35:29,23,6,0,5,3,2,2,0
10,119,0:28,0,0,0,1,0,0,0,0
10,111,10:50,0,0,0,3,3,0,1,0
10,117,10:36,5,1,0,0,1,0,0,0
10,152,14:34,3,0,0,0,0,0,0,0
10,118,0:56,0,0,1,0,0,0,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
