game_id,player_id,time_played,points_scored,threes_scored,off_rebounds,def_rebounds,assists,losts,steals,blocks
32,80,15:30,0,0,0,0,0,1,0,0
32,82,32:48,14,2,1,7,2,1,0,0
32,81,34:04,26,0,2,16,2,1,0,0
32,76,16:26,7,0,1,4,2,1,1,0
32,79,22:27,2,0,1,0,2,2,1,2
32,83,23:04,14,2,0,1,2,6,1,0
32,77,24:19,13,2,0,2,6,0,0,0
32,85,12:36,4,0,0,2,0,0,0,0
32,78,18:46,8,2,0,0,2,1,0,0
32,68,35:34,12,4,1,3,4,1,1,1
32,67,33:48,3,1,0,3,9,3,2,0
32,71,33:49,26,2,1,8,2,0,2,1
32,73,9:07,2,0,1,1,0,1,0,1
32,72,36:56,25,0,2,8,0,1,2,2
32,69,23:36,12,2,1,3,0,1,0,0
32,70,19:05,0,0,3,3,1,0,0,0
32,75,0:46,0,0,0,1,0,1,0,0
32,74,7:19,3,1,0,0,0,1,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
