game_id,player_id,time_played,points_scored,threes_scored,off_rebounds,def_rebounds,assists,losts,steals,blocks
4,104,32:33,15,0,2,5,1,0,3,1
4,99,29:05,6,1,0,2,3,2,0,0
4,102,30:19,31,0,1,4,5,1,3,0
4,97,19:37,4,0,0,2,0,2,0,0
4,103,30:15,10,1,0,8,5,3,0,2
4,100,18:05,0,0,0,1,2,3,1,2
4,109,5:31,3,1,0,0,1,0,0,0
4,108,2:18,3,0,1,1,0,0,0,0
4,101,16:40,4,0,1,5,0,1,0,0
4,105,15:37,7,0,0,1,0,3,3,0
4,149,18:18,6,0,4,2,1,1,0,0
4,124,38:48,17,3,2,5,5,1,4,0
4,125,28:14,16,1,2,4,5,8,3,0
4,122,33:23,17,3,2,3,7,0,1,0
4,126,15:38,10,2,1,2,0,0,0,0
4,128,2:46,0,0,0,0,0,0,0,0
4,129,16:49,5,1,1,0,0,1,0,0
4,132,24:16,6,0,2,7,1,3,1,2
4,131,21:48,4,0,2,5,2,1,0,0
