game_id,player_id,time_played,points_scored,threes_scored,off_rebounds,def_rebounds,assists,losts,steals,blocks
14,104,25:26,12,0,4,8,3,5,2,2
14,105,11:29,6,1,0,1,4,0,3,0
14,102,26:03,20,2,0,4,1,2,1,2
14,97,20:21,0,0,0,2,3,1,1,0
14,103,22:39,11,2,1,6,0,2,2,1
14,100,18:06,0,0,0,1,3,0,0,0
14,109,13:33,5,1,1,4,0,1,0,1
14,108,12:00,10,0,3,1,0,0,0,0
14,101,27:28,20,0,5,5,5,3,0,0
14,99,20:06,11,3,4,2,3,1,0,0
14,77,21:12,11,1,0,0,0,1,1,0
14,82,23:48,13,1,0,5,0,1,0,1
14,81,36:03,19,0,1,7,1,2,1,0
14,76,24:47,4,0,0,5,4,5,2,0
14,79,25:06,5,1,0,4,3,3,4,2
14,80,20:50,5,0,1,0,1,1,1,0
14,83,18:35,3,0,2,0,1,2,1,0
14,85,12:50,5,0,1,0,1,0,0,1
14,78,16:49,2,0,0,2,2,1,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
