game_id,player_id,time_played,points_scored,threes_scored,off_rebounds,def_rebounds,assists,losts,steals,blocks
6,69,29:11,16,2,0,3,2,5,0,0
6,67,25:53,9,2,2,1,5,3,1,0
6,71,30:06,21,1,1,2,3,2,3,2
6,73,27:56,18,3,4,15,2,3,1,1
6,72,23:42,4,0,1,4,3,0,0,0
6,70,19:23,12,1,0,5,0,1,1,0
6,75,6:34,0,0,1,2,0,0,0,0
6,74,21:11,5,1,0,2,6,1,1,0
6,20,19:35,5,1,0,0,2,1,1,0
6,23,23:30,8,0,1,3,1,3,2,0
6,25,25:05,5,1,1,4,3,1,1,0
6,24,22:20,13,0,3,1,2,0,0,3
6,22,30:08,6,0,3,5,5,3,1,0
6,146,21:44,6,1,1,5,0,0,1,0
6,21,19:21,0,0,1,1,1,2,3,0
6,28,13:47,8,2,0,0,0,1,0,0
6,26,1:34,2,0,0,0,0,0,0,0
6,29,1:34,0,0,0,1,1,1,0,0
6,30,17:35,6,0,1,4,1,0,1,0
