game_id,player_id,time_played,points_scored,threes_scored,off_rebounds,def_rebounds,assists,losts,steals,blocks
24,104,30:17,4,0,1,8,1,1,1,1
24,105,25:11,1,0,0,1,3,0,0,0
24,102,31:52,30,5,1,3,5,1,1,0
24,97,18:53,2,0,0,1,3,0,0,0
24,103,33:50,17,3,1,6,1,0,2,1
24,100,11:19,3,0,1,1,1,0,0,0
24,109,0:03,0,0,0,0,0,0,0,0
24,108,15:37,10,0,0,1,0,0,0,0
24,101,15:53,9,1,1,4,1,0,0,0
24,99,17:05,8,0,1,2,2,2,0,0
24,93,29:46,14,2,3,6,1,1,0,1
24,92,32:15,24,4,1,4,1,1,0,0
24,87,28:50,16,4,0,1,3,1,0,0
24,86,34:10,4,0,3,3,7,2,0,0
24,90,32:38,6,0,4,8,4,4,0,1
24,95,0:13,0,0,0,0,0,0,0,0
24,89,17:36,8,1,0,4,1,0,0,0
24,88,6:19,0,0,0,1,1,1,0,0
24,96,0:13,0,0,0,0,0,0,0,0
24,91,18:00,7,1,0,7,2,2,2,0
